ID,Name,Type,Keywords,Range,Description,Requirements,Combined Costs,Mana Cost,AP Cost,RP Cost,Other Costs,Benefits,Associated Abilities,Parent Ability,Subdivision Index,Gathering Cost,Gathering Bonus
abjurers_blast,Abjurer's Blast,true_ability,"Rapid, Spell",10ft,"You make a Light (1 AP), Heavy (2 AP) or Precise (2 AP) attack against the target that deals Arcane damage. This spell does not provoke attacks of opportunity.",,AP: 1,,1,,,,,,,,
absorb_ice,Absorb Ice,true_ability,Rapid,Self,"You gain Damage Reduction 100 Water(Frost) against the triggering attack. After the attack resolves, if the caster is not you or someone allied to you, you gain Temporary HP until the end of the encounter equal to the amount of damage this ability reduces.",You're about to take Water(Frost) Damage.,RP: 1,,,1,,,,,,,
accelerando,Accelerando,true_ability,Encounter Start,120ft,Grant yourself or an ally +4 initiative.,,,,,,,,,,,,
accelerating_strike,Accelerating Strike,true_ability,,Melee Weapon Range,"You make a Heavy Attack against the target. Afterwards, you may increase your Initiative by up to 2.",,AP: 2 MP: 1,1,2,,,,,,,,
acolytes_journey,Acolyte's Journey,key_ability,,,,,,,,,,"You gain proficiency in light armor, shields and a single common group of weapons. This group may include Channeling Weapons, even though they aren't consider common weapons., You gain +5 skill points in the Religion skill., You are welcome at establishments for your religion and they are obligated to help you with lodging, advice, food and sometimes equipment.",,,,,
adaptive_defense,Adaptive Defense,true_ability,Rapid,Self,You take the Block Action. You then gain 4 Adaptive Defense (Type) which grants you Damage Reduction 4 against that damage type until the end of your next turn. You can only have one instance of Adaptive Defense at a time.,,MP: 2 RP: 1,2,,1,,,,,,,
advanced_artificing,Advanced Artificing,key_ability,,,,,,,,,,You gain Artificer Advanced Crafting Abilities,,,,,
advanced_artificing_artifice_modification_a2,Artifice Modification A2,crafting_ability,,,You add a second A-Type modification to an artifice. See the individual artifice to see if modifications are available.,,,,,,,,,advanced_artificing,3,,
advanced_artificing_artifice_modification_b,Artifice Modification B,crafting_ability,,,You add a B-Type modification to an artifice. See the individual artifice to see if modifications are available.,,,,,,,,,advanced_artificing,2,,
advanced_artificing_skeleton_welding,Skeleton Welding,crafting_ability,,,"You expertly create the artifice hookup, reducing the artifice weight burden by a further 1 to a total minimum of 0.5.",,,,,,,,,advanced_artificing,1,,
adventurer_essentials,Adventurer Essentials,key_ability,,,,,AP: 4,,4,,,"You gain proficiency in 1 common weapon group. In addition, you gain proficiency in 1 common or specialized weapon groups., You gain proficiency in 1 armor category of your choosing. You may also pick the shield or greatshield., You may use Presence Concealment.",Presence Concealment (presence_concealment),,,,
aerial_crashdown,Aerial Crashdown,true_ability,,60ft,"You and your mount crash down on the target. You move towards the target and your mount makes a Heavy attack against it. On damage, the target is knocked prone.",You are mounted on a flying mount and the target is at least 20ft below you.,AP: 2,,2,,,,,,,,
