Name,Cost,Requirements,Description
8 Eyes,100,Must be a spiderfolk,You may have up to 8 Mystic Eyes instead of the regular 2.
Angelblooded,0,"Must be a human, only a human. Requires GM Approval",You have the blood of angels in you. You may purchase the Angelblooded class.
Become Fire,200,Must be a Salamander,The RP cost of Consume Fire is reduced to 0.
Become Ice,200,Must be a Yuki-Onna,The RP cost of Absorb Ice is reduced to 0 the first time you use it per round. Cost is reset back to 0 when it becomes your turn
Become Lightning,200,Must be a Raijin Youkai,The RP cost of Consume Lightning is reduced to 0 the first time you use it per round. Cost is reset back to 0 when it becomes your turn. Any Power bonus you gain from using Consume Lightning does not stack.
Blend In,200,Must be a Slimefolk,"You disguise your appearance using magic to be that of another race.  This skill does not allow you to change your appearance at will, but instead lets you appear as you would as a different race.  You choose this race when this breakthrough is picked up and cannot change it.In addition, the first time you use Slime Body while disguised in this way, it costs 0 RP instead of 1 RP.  This effect does not work if the attacker knows that you are a Slimefolk."
Blessed by Kari,100,Must be a Human,"After using Divine Providence you may use it a second time before resting, but the cost increases to 1 RP. This second use must pick a different option then your first one."
Bully,50,,You gain a +5 bonus to intimidation skill checks against targets with less Fitness than you.
Combat Kitty,100,Must be a Cait Sith,"You may use abilities like normal while in cat form. Any abilities that require a specific weapon, armor or similar physical requirement cannot be used."
Curse of Vampirism,300,Must be taken at character creation or after being killed by a vampire's bite,"You rise as a vampire, an immortal creature that feeds on the blood of living creatures andimmediately gain the Vampire racial style class and its key ability. Your race changes to ‘Vampire’, but you keep the benefits of your previous race.

As a vampire, you no longer age and your physical appearance changes slightly. Your skin becomes more pale and you grow a pair of fangs. You still need to eat, drink and breathe as normal.

A vampire’s spirit core is cracked, making it difficult for it to regenerate mana naturally and requiring it to obtain it from other creatures. You no longer regenerate mana from eating (including potions), resting and can no longer use the Draw Mana encounter conclusion action. You still recover full mana at the start of a new arc.

You are weak to sunlight. Every round you spend in sunlight without proper protection you take 10 true damage and your maximum HP is lowered by 10. Your maximum HP remains lowered until you finish a rest. You may carry a parasol or similar object in one hand to protect yourself from the sun and can do so even in combat.

In addition to these drawbacks, you no longer receive Wounds unless the damage that reduced your HP to 0 was fire, holy or true damage. You also gain 60ft Darkvision. Darkvision lets you see in total darkness, even if there's no source of light."
Deus Ex Machina,600,,"The first time you would die from a mortal wound at Encounter Conclusion, the mortal wound is removed and you instead receive a normal injury. The benefit of this breakthrough is then lost and you may not choose this breakthrough again after."
Divine Luck I,300,,"Once per rest, you may roll an additional dice when making a check and take the higher result."
Divine Luck II,600,Must have purchased Divine Luck I,"Once per arc, you may choose to automatically succeed on a check (if success is possible)."
Drag along,200,Must be a Lamia,"When you have a target under the effect of ""Just a hug"", you can still move at half of your normal movement speed while under theJust a hugroot effect and you still count as rooted for all other purposes.

When moving, you can drag along the target of Just a hug, but they still count as rooted at your new location.

In addition, your grapple power increases by +1."
Dual Personality,300,,"Whether through magical or non-magical means, you have more than a single personality or entity within you through either physical or magical means. When under the influence of a Charm, Illusion or other mind-influencing effect you may spend 1 AP to switch personalities/entities and act as normal.

You may only do this once per encounter."
Early Ascension,300,Must be taken at character creation,You are treated as having 1 class mastered for the purposes of selecting a tier 2 class that has “Any class mastered” or similar requirement. This does not apply to any class that requires a specific class to be mastered and it doesn't automatically qualify you for other requirements such as weapon proficiencies.
Elemental Affinity,150,,"You gain Elemental Mastery in an element of your choice.

You may pick this breakthrough more than once, choosing a different element each time."
Elixir Addict,0,Must have used at least 3 elixirs,"You have become used to the effects of drinking elixirs, too used in fact. At the end of your turn in combat, if you do not have an Elixir active you take 6 true damage. The HP cost of drinking all elixirs is reduced by 11.

This breakthrough may be removed during an interlude phase by spending 1 IP."
Fae Flash Acrobat,50,Must be a Fae,"While using Fae Flash, you may teleport a partial distance and materialize there to redirect your teleport. In a single Fae Step, you may teleport multiple times, reappearing each time you stop, to teleport from that new position. You are still limited by your maximum teleport distance and cannot take any other actions between each teleport."
